,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
149,42.056396,48.306587,Дербент,СКФО,ЖДПП,6665,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840,1.14
150,41.708056,48.473279,Ново-Филя,СКФО,АПП,26300,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,4380,6.0
151,41.787765,48.54852,Тагиркент-Казмаляр,СКФО,АПП,35767,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,18250,1.96
152,49.643629,89.44195,Ташанта,СФО,АПП,11239,2022,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980,1.88
153,54.645721,22.736633,Чернышевское,СЗФО,АПП,139439,2022,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500,1.27
154,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,184183,2022,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500,1.68
155,43.397314,40.002072,Адлер,ЮФО,АПП,89761,2017,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500,2.46
156,42.768431,44.631185,Верхний Ларс,СКФО,АПП,17300,2017,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950,1.58
157,59.376896,28.211033,Ивангород,СЗФО,АПП,28098,2017,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900,1.28
158,50.338847,36.28717,Нехотеевка,ЦФО,АПП,37432,2017,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280,1.42
159,51.881005,34.337551,Троебортное,ЦФО,АПП,19100,2017,Паспорта транспортных средств,Брянский,установлен,да,Украина,18250,1.05
160,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,10405,2017,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Азербайджанская Республика,7300,1.43
161,43.397314,40.002072,Адлер,ЮФО,АПП,93065,2018,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500,2.55
162,42.768431,44.631185,Верхний Ларс,СКФО,АПП,19840,2018,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950,1.81
163,59.376896,28.211033,Ивангород,СЗФО,АПП,28817,2018,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900,1.32
164,50.338847,36.28717,Нехотеевка,ЦФО,АПП,30963,2018,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280,1.18
165,43.397314,40.002072,Адлер,ЮФО,АПП,95518,2019,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500,2.62
166,42.768431,44.631185,Верхний Ларс,СКФО,АПП,21371,2019,Паспорта транспортных средств,Северо-Кавказский,установлен,да,Республика Грузия,10950,1.95
167,49.632878,117.373814,Забайкальск,ДФО,АПП,59803,2019,Паспорта транспортных средств,Читинский,установлен,да,Китайская Народная Республика,58400,1.02
168,59.376896,28.211033,Ивангород,СЗФО,АПП,31076,2019,Паспорта транспортных средств,Санкт-Петербургский,установлен,да,Эстонская Республика,21900,1.42
169,50.338847,36.28717,Нехотеевка,ЦФО,АПП,28103,2019,Паспорта транспортных средств,Белгородский,установлен,да,Украина,26280,1.07
170,43.397314,40.002072,Адлер,ЮФО,АПП,52266,2020,Паспорта транспортных средств,Сочинский,установлен,да,Республика Абхазия,36500,1.43
